mes_inicio,provincia_origen,provincia_destino,viajes,viajeros,edicion
2022-10,Río Negro,San Luis,46,69,previaje 3
2022-10,Río Negro,Santa Cruz,72,174,previaje 3
2022-10,Río Negro,Santa Fe,29,43,previaje 3
2022-10,Río Negro,Santiago del Estero,55,80,previaje 3
2022-10,Río Negro,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",29,56,previaje 3
2022-10,Río Negro,Tucumán,34,66,previaje 3
2022-10,Salta,Buenos Aires,329,583,previaje 3
2022-10,Salta,Catamarca,19,44,previaje 3
2022-10,Salta,Chaco,7,8,previaje 3
2022-10,Salta,Chubut,37,63,previaje 3
2022-10,Salta,Ciudad Autónoma de Buenos Aires,724,1303,previaje 3
2022-10,Salta,Córdoba,237,447,previaje 3
2022-10,Salta,Corrientes,8,27,previaje 3
2022-10,Salta,Jujuy,170,364,previaje 3
2022-10,Salta,La Rioja,6,13,previaje 3
2022-10,Salta,Mendoza,109,270,previaje 3
2022-10,Salta,Misiones,89,241,previaje 3
2022-10,Salta,Neuquén,54,92,previaje 3
2022-10,Salta,Río Negro,115,247,previaje 3
2022-10,Salta,Salta,264,556,previaje 3
2022-10,Salta,San Juan,4,8,previaje 3
2022-10,Salta,San Luis,21,22,previaje 3
2022-10,Salta,Santa Cruz,60,105,previaje 3
2022-10,Salta,Santa Fe,24,58,previaje 3
2022-10,Salta,Santiago del Estero,26,59,previaje 3
2022-10,Salta,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",55,92,previaje 3
2022-10,Salta,Tucumán,50,95,previaje 3
2022-10,San Juan,Buenos Aires,235,414,previaje 3
2022-10,San Juan,Catamarca,10,21,previaje 3
2022-10,San Juan,Chubut,74,139,previaje 3
2022-10,San Juan,Ciudad Autónoma de Buenos Aires,585,1113,previaje 3
2022-10,San Juan,Córdoba,152,373,previaje 3
2022-10,San Juan,Entre Ríos,22,29,previaje 3
2022-10,San Juan,Jujuy,5,8,previaje 3
2022-10,San Juan,La Pampa,4,13,previaje 3
2022-10,San Juan,La Rioja,26,49,previaje 3
2022-10,San Juan,Mendoza,59,164,previaje 3
2022-10,San Juan,Misiones,94,160,previaje 3
2022-10,San Juan,Neuquén,26,73,previaje 3
2022-10,San Juan,Río Negro,87,174,previaje 3
2022-10,San Juan,Salta,48,64,previaje 3
2022-10,San Juan,San Juan,51,117,previaje 3
2022-10,San Juan,San Luis,55,119,previaje 3
2022-10,San Juan,Santa Cruz,57,83,previaje 3
2022-10,San Juan,Santa Fe,13,17,previaje 3
2022-10,San Juan,Santiago del Estero,25,44,previaje 3
2022-10,San Juan,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",36,68,previaje 3
2022-10,San Juan,Tucumán,4,8,previaje 3
2022-10,San Luis,Buenos Aires,100,173,previaje 3
2022-10,San Luis,Catamarca,10,17,previaje 3
2022-10,San Luis,Chaco,3,5,previaje 3
2022-10,San Luis,Chubut,81,120,previaje 3
2022-10,San Luis,Ciudad Autónoma de Buenos Aires,265,450,previaje 3
2022-10,San Luis,Córdoba,52,134,previaje 3
2022-10,San Luis,Entre Ríos,12,20,previaje 3
2022-10,San Luis,Jujuy,23,37,previaje 3
2022-10,San Luis,La Rioja,56,65,previaje 3
2022-10,San Luis,Mendoza,31,73,previaje 3
2022-10,San Luis,Misiones,43,81,previaje 3
2022-10,San Luis,Neuquén,14,32,previaje 3
2022-10,San Luis,Río Negro,29,62,previaje 3
2022-10,San Luis,Salta,85,120,previaje 3
2022-10,San Luis,San Juan,8,22,previaje 3
2022-10,San Luis,San Luis,61,127,previaje 3
2022-10,San Luis,Santa Cruz,35,70,previaje 3
2022-10,San Luis,Santa Fe,18,33,previaje 3
2022-10,San Luis,Santiago del Estero,4,6,previaje 3
2022-10,San Luis,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",27,43,previaje 3
2022-10,San Luis,Tucumán,4,8,previaje 3
2022-10,Santa Cruz,Buenos Aires,124,200,previaje 3
2022-10,Santa Cruz,Catamarca,6,18,previaje 3
2022-10,Santa Cruz,Chaco,6,10,previaje 3
2022-10,Santa Cruz,Chubut,41,90,previaje 3
2022-10,Santa Cruz,Ciudad Autónoma de Buenos Aires,288,466,previaje 3
2022-10,Santa Cruz,Córdoba,76,136,previaje 3
2022-10,Santa Cruz,Corrientes,9,19,previaje 3
2022-10,Santa Cruz,Entre Ríos,11,29,previaje 3
2022-10,Santa Cruz,Formosa,8,13,previaje 3
2022-10,Santa Cruz,Jujuy,8,11,previaje 3
2022-10,Santa Cruz,La Rioja,5,14,previaje 3
2022-10,Santa Cruz,Mendoza,26,49,previaje 3
2022-10,Santa Cruz,Misiones,12,21,previaje 3
2022-10,Santa Cruz,Neuquén,6,7,previaje 3
2022-10,Santa Cruz,Río Negro,14,30,previaje 3
2022-10,Santa Cruz,Salta,31,46,previaje 3
2022-10,Santa Cruz,San Juan,5,8,previaje 3
2022-10,Santa Cruz,Santa Cruz,192,382,previaje 3
2022-10,Santa Cruz,Santa Fe,11,20,previaje 3
2022-10,Santa Cruz,Santiago del Estero,11,16,previaje 3
2022-10,Santa Cruz,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",113,184,previaje 3
